pref,city,intersection,hiragana,address,lat,lon
北海道,札幌市,北５条通り札幌駅前交差点,きたごじょうどおりさっぽろえきまえこうさてん,札幌市中央区北五条西四丁目,43.066768,141.350582
北海道,札幌市,北５条通り西５丁目線交差点,きたごじょうどおりにしごちょうめせんこうさてん,札幌市中央区北五条西五丁目,43.066546,141.348939
北海道,札幌市,北４条通り札幌駅前通り交差点,きたよじょうどおりさっぽろえきまえどおりこうさてん,札幌市中央区北四条西四丁目,43.06557,141.3508
北海道,札幌市,北４条通り西７丁目線交差点,きたよじょうどおりにしななちょうめせんこうさてん,札幌市中央区北四条西七丁目,43.064936,141.34613
北海道,札幌市,北４条通り西５丁目線交差点,きたよじょうどおりにしごちょうめせんこうさてん,札幌市中央区北四条西五丁目,43.065359,141.349238
北海道,札幌市,北４条通り西６丁目線交差点,きたよじょうどおりにしろくちょうめせんこうさてん,札幌市中央区北四条西六丁目,43.06515,141.347677
北海道,札幌市,北３条通り西７丁目線交差点,きたさんじょうどおりにしななちょうめせんこうさてん,札幌市中央区北二条西七丁目１番,43.06374,141.346427
北海道,札幌市,石山通米里行啓通交差点,いしやまどおりよねさとぎょうけいどおりこうさてん,札幌市中央区南十四条西十丁目１番,43.040827,141.343602
北海道,札幌市,石山通福住桑園通交差点,いしやまどおりふくずみそうえんどおりこうさてん,札幌市中央区南三十条西十一丁目,43.018757,141.346377
北海道,札幌市,行啓通西15丁目線交差点,ぎょうけいどおりにしじゅうごちょうめせんこうさてん,札幌市中央区南十四条西十五丁目２番,43.040326,141.33648
北海道,札幌市,米里行啓通西13丁目線交差点,よねさとぎょうけいどおりにしじゅうさんちょうめせんこうさてん,札幌市中央区南十四条西十三丁目３番,43.040582,141.340187
北海道,札幌市,米里行啓通西14丁目線交差点,よねさとぎょうけいどおりにしじゅうよんちょうめせんこうさてん,札幌市中央区南十四条西十四丁目,43.040445,141.338191
北海道,札幌市,米里行啓通西12丁目線交差点,よねさとぎょうけいどおりにしじゅうにちょうめせんこうさてん,札幌市中央区南十四条西十二丁目２番,43.040724,141.342161
北海道,札幌市,北２条通西８丁目線交差点,きたにじょうどおりにしはっちょうめせんこうさてん,札幌市中央区北二条西八丁目,43.062345,141.345238
北海道,札幌市,北３条通西８丁目線交差点,きたさんじょうどおりにしはっちょうめせんこうさてん,札幌市中央区北三条西八丁目,43.063524,141.345002
宮城県,仙台市,バスプール前交差点,ばすぷーるまえこうさてん,仙台市青葉区中央一丁目１番１号先（仙台駅バスプール北西角）,38.259729,140.879953
宮城県,仙台市,中央１丁目交差点,ちゅうおういっちょうめこうさてん,仙台市青葉区中央一丁目１０番２３号先,38.260849,140.879348
宮城県,仙台市,東一番丁・広瀬通交差点,ひがしいちばんちょうひろせどおりこうさてん ,仙台市青葉区一番町三丁目１１番１５号先,38.262401,140.871409
宮城県,仙台市,中央２丁目交差点,ちゅうおうにちょうめこうさてん,仙台市青葉区中央一丁目６番１８号先,38.262999,140.878074
宮城県,仙台市,錦町公園前交差点,にしきちょうこうえんまえこうさてん ,仙台市青葉区本町三丁目１番１号先,38.267085,140.87568
宮城県,仙台市,東二番丁・広瀬通交差点,ひがしにばんちょうひろせどおりこうさてん ,仙台市青葉区中央二丁目９番１６号先,38.262788,140.873518
宮城県,仙台市,北一番丁勾当台通交差点,きたいちばんちょうこうとうだいどおりこうさてん,仙台市青葉区本町三丁目８番１号先(北西角),38.268731,140.870082
宮城県,仙台市,東二番丁・定禅寺通交差点,ひがしにばんちょうじょうぜんじどおりこうさてん ,仙台市青葉区一番町四丁目１１番１号先,38.26616,140.871516
宮城県,仙台市,愛宕上杉中央通交差点,あたごかみすぎちゅうおうどおりこうさてん,仙台市青葉区中央一丁目８番１９号先,38.261774,140.878811
宮城県,仙台市,駅前広瀬交差点,えきまえひろせこうさてん,仙台市青葉区本町一丁目１番１号先,38.263151,140.880528
宮城県,仙台市,駅前名掛丁交差点,えきまえなかけちょうこうさてん,仙台市青葉区中央一丁目７番１号先,38.262146,140.880837
宮城県,仙台市,広瀬・晩翠通交差点,ひろせばんすいどおりこうさてん ,仙台市青葉区国分町二丁目３番９号先,38.261765,140.867936
宮城県,仙台市,定禅寺・国分町通交差点,じょうぜんじこくぶんちょうどおりこうさてん,仙台市青葉区国分町三丁目２番５号先,38.265684,140.868947
宮城県,仙台市,広瀬・国分町通交差点,ひろせこくぶんちょうどおりこうさてん ,仙台市青葉区国分町二丁目２番２号先,38.262159,140.870099
宮城県,仙台市,定禅寺・晩翠通交差点,じょうぜんじばんすいどおりこうさてん ,仙台市青葉区立町２７番２６号先,38.265281,140.8668
宮城県,仙台市,県庁市役所前交差点,けんちょうしやくしょまえこうさてん,仙台市青葉区本町三丁目８番１号先(議会庁舎南西角),38.267446,140.870682
宮城県,仙台市,市民会館前交差点,しみんかいかんまえこうさてん,仙台市青葉区桜ケ岡公園４番１号先（南東角から南方30m）,38.264681,140.863498
宮城県,仙台市,定禅寺・東三番丁交差点,じょうぜんじひがしさんばんちょうこうさてん ,仙台市青葉区本町三丁目９番先（勾当台公園南東角）,38.266454,140.872955
宮城県,仙台市,五ツ橋交差点,いつつばしこうさてん,仙台市青葉区五橋二丁目２番１号先,38.252725,140.879467
宮城県,仙台市,勾当台通北二交差点,こうとうだいどおりきたにこうさてん,仙台市青葉区二日町１２番３４号先,38.269911,140.869722
宮城県,仙台市,定禅寺・木町通交差点,じょうぜんじきまちどおりこうさてん ,仙台市青葉区春日町３番１号先(土地番),38.264906,140.864792
宮城県,仙台市,定禅寺・東一番丁交差点,じょうぜんじひがしいちばんちょうこうさてん ,仙台市青葉区国分町三丁目１番３号先,38.265939,140.870287
宮城県,仙台市,仙台中央警察署前交差点,せんだいちゅうおうけいさつしょまえこうさてん,仙台市青葉区北目町１番１８号先,38.254015,140.878681
宮城県,仙台市,定禅寺・錦町交差点,じょうぜんじにしきちょうこうさてん ,仙台市青葉区花京院二丁目１番１８号先,38.267814,140.879289
宮城県,仙台市,福祉プラザ前交差点,ふくしぷらざまえこうさてん,仙台市青葉区五橋二丁目１２番２号先,38.251271,140.880737
宮城県,仙台市,東六番丁・錦町交差点,ひがしろくばんちょうにしきちょうこうさてん ,仙台市青葉区宮町一丁目１番３８号先,38.26865,140.883695
宮城県,仙台市,たいはっくる前交差点,たいはっくるまえこうさてん,仙台市太白区長町三丁目４番１６号先,38.228664,140.884934
宮城県,仙台市,松ケ丘交差点,まつがおかこうさてん,仙台市太白区八木山本町一丁目３８番７号先,38.240723,140.848047
宮城県,仙台市,長町駅前交差点,ながまちえきまえこうさてん ,仙台市太白区長町五丁目１番１号先(南西角),38.226413,140.884916
宮城県,仙台市,八木山本町二丁目交差点,やぎやまほんちょうにちょうめこうさてん ,仙台市太白区八木山本町二丁目４番１１号先,38.241453,140.841349
宮城県,仙台市,八木山南一丁目交差点,やぎやまみなみいっちょうめこうさてん ,仙台市太白区八木山南一丁目１番１２号先,38.235047,140.836975
宮城県,仙台市,八木山小学校前交差点,やぎやましょうがっこうまえこうさてん ,仙台市太白区八木山本町一丁目３９番２号先,38.239642,140.847149
宮城県,仙台市,南郵便局前交差点,みなみゆうびんきょくまえこうさてん ,仙台市太白区長町八丁目２２番１０号先,38.228238,140.877243
宮城県,仙台市,長町五丁目交差点,ながまちごちょうめこうさてん ,仙台市太白区長町五丁目１０番４５号先,38.225629,140.881692
宮城県,仙台市,太白区役所前交差点,たいはくくやくしょまえこうさてん ,仙台市太白区長町南一丁目１番１号先,38.2249,140.878296
